rule_id|current_script|pattern|objectclass|proposed_script|confidence
A-A-RODCAllowedGroup|Collect-ADCompleteTaxonomy.ps1|*_DATA_Groups.xml|group|NEED_NEW_COLLECTOR|LOW
A-A-AdminSDHolder-Level1|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_ACL_*.xml|delegation|Collect-Delegations.ps1|HIGH
A-A-AdminSDHolder-Level2|Collect-ADCompleteTaxonomy.ps1|*_ACL_*.xml|delegation|Collect-Delegations.ps1|HIGH
A-A-ADMINSDHOLDER-MISSING|Collect-ADCompleteTaxonomy.ps1|*_DATA_Users.xml|user|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-A-AnonymousAuthorizedGPO|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml|gpo_policy|Collect-GPOSettings.ps1|MEDIUM
A-A-BackupMetadata|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|domain_metadata|UNKNOWN|LOW
A-A-DC-Spooler|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_Domain controllers.xml|domaincontroller|Collect-ADUptimeAndVersion.ps1|MEDIUM
A-A-DC-WebClient|Collect-ADCompleteTaxonomy.ps1|*_DATA_Domain controllers.xml|domain_controller|Collect-ADUptimeAndVersion.ps1|MEDIUM
A-A-DnsZoneAUCreateChild|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_DNS zones*.xml|dns_zone|Collect-DNSConfig.ps1|HIGH
A-A-DnsZoneTransfert|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_DNS zones*.xml|dns_zone|Collect-DNSConfig.ps1|HIGH
A-A-DsHeuristics1|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|domain|NEED_NEW_COLLECTOR|LOW
A-A-DsHeuristics2|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|domain|NEED_NEW_COLLECTOR|LOW
A-A-DsHeuristics4|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|domain|NEED_NEW_COLLECTOR|LOW
